iteration,loss_total,loss_ic,loss_rain,loss_noflow,loss_res
0,710.6188354492188,0.8718522787094116,22.91157341003418,49.59888458251953,0.033683642745018005
100,376.8443603515625,1.5782420635223389,17.801151275634766,2.5657341480255127,0.10147949308156967
200,17.748676300048828,0.42175740003585815,0.7626788020133972,0.07618249952793121,0.005399435758590698
300,15.437657356262207,0.42119619250297546,0.6501494646072388,0.06481783092021942,0.004598924424499273
400,12.615610122680664,0.25598281621932983,0.559698224067688,0.027835194021463394,0.002556231338530779
500,8.083917617797852,0.2590661644935608,0.33025431632995605,0.03601240739226341,0.003437640145421028
600,3.5951411724090576,0.2444259375333786,0.10969927161931992,0.035419099032878876,0.0019305560272186995
700,3.0230143070220947,0.18686890602111816,0.09699281305074692,0.029509827494621277,0.001264330931007862
800,1.704084873199463,0.11173763871192932,0.04981390759348869,0.02953127771615982,0.0014621890150010586
900,1.5540578365325928,0.09899838268756866,0.046094924211502075,0.027144577354192734,0.001444556750357151
999,1.434561014175415,0.0560816153883934,0.05310516804456711,0.018135223537683487,0.0013735786778852344
