x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
0.0,0.0,1,20.085536923187668,-1614.4432,0.11416139
1.1123595505617978,0.0,1,20.085536923187668,-1593.7388,0.114423245
2.2247191011235956,0.0,1,20.085536923187668,-1573.0695,0.11468999
3.3370786516853936,0.0,1,20.085536923187668,-1552.4298,0.11496186
4.449438202247191,0.0,1,20.085536923187668,-1531.8113,0.11523911
5.561797752808989,0.0,1,20.085536923187668,-1511.2092,0.11552201
6.674157303370787,0.0,1,20.085536923187668,-1490.6069,0.11581098
7.786516853932585,0.0,1,20.085536923187668,-1470.0017,0.11610627
8.898876404494382,0.0,1,20.085536923187668,-1449.3813,0.1164083
10.011235955056181,0.0,1,20.085536923187668,-1428.7435,0.11671735
11.123595505617978,0.0,1,20.085536923187668,-1408.0774,0.11703386
12.235955056179776,0.0,1,20.085536923187668,-1387.3779,0.11735821
13.348314606741575,0.0,1,20.085536923187668,-1366.6315,0.117690936
14.460674157303371,0.0,1,20.085536923187668,-1345.8411,0.118032336
15.57303370786517,0.0,1,20.085536923187668,-1324.9915,0.11838305
16.685393258426966,0.0,1,20.085536923187668,-1304.083,0.11874348
17.797752808988765,0.0,1,20.085536923187668,-1283.1068,0.11911422
18.910112359550563,0.0,1,20.085536923187668,-1262.0636,0.119495735
20.022471910112362,0.0,1,20.085536923187668,-1240.9464,0.11988866
21.134831460674157,0.0,1,20.085536923187668,-1219.7549,0.12029356
22.247191011235955,0.0,1,20.085536923187668,-1198.4841,0.12071112
23.359550561797754,0.0,1,20.085536923187668,-1177.1401,0.12114185
24.471910112359552,0.0,1,20.085536923187668,-1155.7145,0.12158662
25.58426966292135,0.0,1,20.085536923187668,-1134.2135,0.122046016
26.69662921348315,0.0,1,20.085536923187668,-1112.6355,0.122520864
27.808988764044944,0.0,1,20.085536923187668,-1090.9856,0.1230119
28.921348314606742,0.0,1,20.085536923187668,-1069.27,0.12351985
30.03370786516854,0.0,1,20.085536923187668,-1047.49,0.12404567
31.14606741573034,0.0,1,20.085536923187668,-1025.6517,0.12459022
