,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3,1.4000000000000001,1.5,1.6,1.7000000000000002,1.8,1.9000000000000001,2.0,2.1,2.2,2.3000000000000003,2.4000000000000004,2.5,2.6,2.7,2.8000000000000003,2.9000000000000004,3.0,3.1,3.2,3.3000000000000003,3.4000000000000004,3.5,3.6,3.7,3.8000000000000003,3.9000000000000004,4.0,4.1000000000000005,4.2,4.3,4.4,4.5,4.6000000000000005,4.7,4.800000000000001,4.9,5.0,5.1000000000000005,5.2,5.300000000000001,5.4,5.5,5.6000000000000005,5.7,5.800000000000001,5.9,6.0,6.1000000000000005,6.2,6.300000000000001,6.4,6.5,6.6000000000000005,6.7,6.800000000000001,6.9,7.0,7.1000000000000005,7.2,7.300000000000001,7.4,7.5,7.6000000000000005,7.7,7.800000000000001,7.9,8.0,8.1,8.200000000000001,8.3,8.4,8.5,8.6,8.700000000000001,8.8,8.9,9.0,9.1,9.200000000000001,9.3,9.4,9.5,9.600000000000001,9.700000000000001,9.8,9.9,10.0
-99.0,-50.757877,-48.271545,-45.930355,-43.725697,-41.649406,-39.69382,-37.85176,-36.116447,-34.48164,-32.94122,-31.489777,-30.121893,-28.832737,-27.617634,-26.472271,-25.392538,-24.37468,-23.415031,-22.510277,-21.657228,-20.852974,-20.094734,-19.379892,-18.706024,-18.07086,-17.472248,-16.908215,-16.376856,-15.876452,-15.405355,-14.962036,-14.545062,-14.153095,-13.784887,-13.439277,-13.115176,-12.811571,-12.527535,-12.262177,-12.0147,-11.784349,-11.570419,-11.372286,-11.189354,-11.021083,-10.866975,-10.726583,-10.599508,-10.485378,-10.383872,-10.294708,-10.2176285,-10.15243,-10.098932,-10.056992,-10.026514,-10.007427,-9.999679,-10.003288,-10.018263,-10.044686,-10.082649,-10.132296,-10.193789,-10.267348,-10.35321,-10.451664,-10.563045,-10.687714,-10.826075,-10.9786,-11.145786,-11.3281975,-11.526428,-11.74116,-11.97312,-12.223059,-12.491877,-12.780457,-13.089801,-13.421002,-13.775185,-14.153628,-14.55767,-14.98874,-15.448397,-15.938306,-16.46025,-17.016174,-17.608143,-18.23836,-18.909197,-19.623207,-20.383154,-21.191912,-22.052694,-22.968836,-23.94395,-24.981918,-26.086914,-27.263334
-98.0,-50.71421,-48.233788,-45.897842,-43.697872,-41.62577,-39.673885,-37.835167,-36.10279,-34.470592,-32.932533,-31.48311,-30.117039,-28.82948,-27.615784,-26.471659,-25.393017,-24.376074,-23.417278,-22.513218,-21.660818,-20.85712,-20.099329,-19.384888,-18.711369,-18.076488,-17.47814,-16.914318,-16.383139,-15.882885,-15.411913,-14.9686985,-14.5518055,-14.159906,-13.791741,-13.446174,-13.1221075,-12.818543,-12.534521,-12.269184,-12.021729,-11.791381,-11.577461,-11.379337,-11.196412,-11.028149,-10.874058,-10.733677,-10.60662,-10.492503,-10.391022,-10.301875,-10.224817,-10.159655,-10.106189,-10.064288,-10.033851,-10.014803,-10.007108,-10.010752,-10.025785,-10.052259,-10.090277,-10.1399765,-10.201539,-10.275147,-10.361071,-10.459589,-10.571016,-10.695736,-10.834154,-10.98672,-11.153948,-11.33639,-11.534651,-11.749393,-11.981344,-12.231274,-12.500046,-12.788576,-13.0978365,-13.428911,-13.78297,-14.161226,-14.565026,-14.995821,-15.455142,-15.944665,-16.466158,-17.021523,-17.612854,-18.242317,-18.912308,-19.625332,-20.38416,-21.19163,-22.050922,-22.965408,-23.938637,-24.974426,-26.07701,-27.2507
-97.0,-50.66002,-48.186718,-45.857296,-43.663086,-41.596107,-39.64895,-37.814335,-36.085712,-34.456802,-32.921726,-31.474907,-30.1112,-28.825748,-27.613895,-26.471418,-25.39425,-24.378597,-23.42094,-22.517904,-21.666391,-20.863451,-20.106365,-19.392525,-18.719534,-18.085127,-17.487167,-16.923689,-16.392818,-15.892824,-15.422095,-14.979062,-14.562343,-14.170595,-13.802576,-13.457123,-13.133153,-12.829667,-12.545727,-12.28046,-12.033062,-11.80278,-11.588924,-11.390852,-11.207976,-11.039768,-10.885729,-10.745409,-10.618408,-10.504353,-10.402937,-10.313861,-10.236877,-10.171785,-10.118408,-10.076591,-10.046244,-10.027293,-10.019701,-10.023455,-10.038596,-10.06519,-10.103332,-10.153163,-10.214852,-10.288601,-10.374666,-10.473329,-10.584897,-10.709761,-10.848333,-11.001053,-11.168424,-11.351013,-11.549415,-11.764294,-11.9963665,-12.246415,-12.515289,-12.803909,-13.113251,-13.444385,-13.79846,-14.176708,-14.580484,-15.011195,-15.470375,-15.959722,-16.48095,-17.036016,-17.626957,-18.255926,-18.925325,-19.637661,-20.395607,-21.202091,-22.060242,-22.97336,-23.945028,-24.979023,-26.079514,-27.250875
-96.0,-50.59632,-48.131466,-45.809555,-43.62216,-41.561363,-39.619667,-37.790047,-36.065884,-34.440952,-32.909435,-31.465858,-30.10502,-28.822098,-27.612564,-26.472118,-25.396788,-24.382751,-23.426517,-22.524761,-21.674389,-20.872467,-20.11626,-19.403217,-18.730919,-18.097118,-17.49971,-16.93671,-16.40626,-15.906646,-15.436232,-14.993497,-14.577032,-14.185502,-13.817683,-13.47241,-13.148611,-12.845264,-12.561449,-12.296296,-12.049009,-11.8188305,-11.60508,-11.407104,-11.224329,-11.056215,-10.90227,-10.762041,-10.635145,-10.5211935,-10.419879,-10.330911,-10.254055,-10.189084,-10.135828,-10.094153,-10.063952,-10.045149,-10.037718,-10.041641,-10.056958,-10.083735,-10.122063,-10.1721,-10.233993,-10.3079605,-10.394253,-10.493129,-10.604943,-10.730059,-10.868876,-11.021851,-11.189487,-11.372334,-11.570998,-11.786137,-12.018471,-12.268786,-12.537913,-12.826771,-13.136344,-13.4676895,-13.821966,-14.200395,-14.604322,-15.035143,-15.494416,-15.983785,-16.505018,-17.059998,-17.650768,-18.27952,-18.948599,-19.66049,-20.417906,-21.223701,-22.081005,-22.993103,-23.963543,-24.99612,-26.094927,-27.26429
-95.0,-50.524094,-48.06884,-45.75559,-43.57603,-41.5223,-39.586937,-37.763035,-36.044052,-34.42373,-32.89638,-31.456549,-30.099085,-28.819178,-27.612349,-26.474321,-25.401117,-24.38903,-23.434517,-22.534311,-21.685291,-20.884583,-20.129478,-19.4174,-18.745956,-18.112907,-17.516172,-16.953772,-16.423857,-15.924707,-15.454707,-15.012355,-14.596209,-14.20498,-13.837407,-13.492372,-13.168787,-12.865624,-12.582002,-12.317017,-12.069883,-11.839851,-11.62623,-11.428389,-11.245745,-11.077759,-10.923946,-10.78386,-10.657085,-10.543291,-10.44212,-10.353308,-10.276606,-10.211808,-10.158725,-10.11724,-10.087225,-10.068632,-10.061409,-10.06556,-10.081116,-10.108141,-10.146733,-10.197039,-10.259214,-10.333478,-10.420075,-10.519275,-10.631426,-10.756882,-10.896042,-11.049382,-11.217386,-11.400614,-11.599672,-11.815203,-12.047937,-12.298651,-12.568183,-12.857443,-13.167415,-13.499154,-13.853807,-14.232605,-14.636867,-15.06801,-15.527592,-16.017221,-16.538654,-17.093815,-17.684677,-18.31347,-18.982494,-19.694248,-20.45141,-21.256836,-22.113626,-23.025047,-23.99461,-25.026134,-26.123623,-27.291397
-94.0,-50.4444,-47.999863,-45.696304,-43.525536,-41.479675,-39.55152,-37.73408,-36.020874,-34.405857,-32.88324,-31.447657,-30.094011,-28.817535,-27.613789,-26.478539,-25.407824,-24.397959,-23.445433,-22.547,-21.699581,-20.900303,-20.146442,-19.435472,-18.76505,-18.132896,-17.536957,-16.975262,-16.445974,-15.947387,-15.477875,-15.03595,-14.620213,-14.229334,-13.862097,-13.517338,-13.194,-12.891097,-12.607681,-12.342897,-12.095957,-11.866102,-11.652662,-11.4549885,-11.272513,-11.1047,-10.951052,-10.811125,-10.684542,-10.570908,-10.469926,-10.381305,-10.304801,-10.240214,-10.187355,-10.146099,-10.116341,-10.097998,-10.091044,-10.0954895,-10.111335,-10.138673,-10.177605,-10.228244,-10.290784,-10.365424,-10.45241,-10.552025,-10.664594,-10.790493,-10.930114,-11.083928,-11.252423,-11.436148,-11.635716,-11.851769,-12.085047,-12.336308,-12.606389,-12.896213,-13.206757,-13.539058,-13.894279,-14.273632,-14.67845,-15.11012,-15.570206,-16.06033,-16.58222,-17.137781,-17.729034,-18.358122,-19.027384,-19.739279,-20.496494,-21.301888,-22.158476,-23.069561,-24.038643,-25.069471,-26.166012,-27.33266
-93.0,-50.358253,-47.9255,-45.632645,-43.471527,-41.434444,-39.514206,-37.703922,-35.997196,-34.388012,-32.870667,-31.43979,-30.090418,-28.81781,-27.617523,-26.485357,-25.417433,-24.410044,-23.45977,-22.563343,-21.71771,-20.920036,-20.167597,-19.457924,-18.788616,-18.15749,-17.562443,-17.001553,-16.472979,-15.97503,-15.506086,-15.064681,-14.649385,-14.2589245,-13.892046,-13.547627,-13.224593,-12.921964,-12.638802,-12.374261,-12.12754,-11.897906,-11.684664,-11.487192,-11.304913,-11.137294,-10.983839,-10.84413,-10.717737,-10.604324,-10.503567,-10.415177,-10.338914,-10.274576,-10.221986,-10.181007,-10.151539,-10.133509,-10.126886,-10.131663,-10.14788,-10.175603,-10.214926,-10.265985,-10.328962,-10.404058,-10.491526,-10.591644,-10.704737,-10.831168,-10.971359,-11.1257515,-11.2948475,-11.4792,-11.679414,-11.896136,-12.130098,-12.382051,-12.652845,-12.943397,-13.2546625,-13.587719,-13.943691,-14.32381,-14.729369,-15.161793,-15.622624,-16.11346,-16.636059,-17.192293,-17.784166,-18.41385,-19.08363,-19.79599,-20.553577,-21.359232,-22.215988,-23.12711,-24.09606,-25.126556,-26.222605,-27.388527
-92.0,-50.266632,-47.84668,-45.565437,-43.41487,-41.38736,-39.47579,-37.673286,-35.97365,-34.37085,-32.859287,-31.433638,-30.088947,-28.820538,-27.624035,-26.495298,-25.43044,-24.425833,-23.478022,-22.583805,-21.740149,-20.94423,-20.193396,-19.485123,-18.817074,-18.187069,-17.593037,-17.033028,-16.505262,-16.008028,-15.539721,-15.098873,-14.684099,-14.294075,-13.92761,-13.583567,-13.260871,-12.958554,-12.675678,-12.411409,-12.164943,-11.935537,-11.722534,-11.525299,-11.3432455,-11.175852,-11.022625,-10.883131,-10.756987,-10.643821,-10.543314,-10.455191,-10.379216,-10.315165,-10.262884,-10.222235,-10.193108,-10.175438,-10.169195,-10.174378,-10.191018,-10.219183,-10.258977,-10.3105345,-10.374028,-10.449669,-10.5377,-10.6384115,-10.752121,-10.879203,-11.020061,-11.175152,-11.344971,-11.530076,-11.731062,-11.948598,-12.18338,-12.436184,-12.707855,-12.999295,-13.3114805,-13.645464,-14.002381,-14.383445,-14.78998,-15.223381,-15.685172,-16.176962,-16.700506,-17.257673,-17.850456,-18.480993,-19.151608,-19.86472,-20.62302,-21.429272,-22.286556,-23.198061,-24.167246,-25.197845,-26.293798,-27.459389
-91.0,-50.170486,-47.76432,-45.49567,-43.35648,-41.339264,-39.437004,-37.64302,-35.951015,-34.355125,-32.849796,-31.429787,-30.090166,-28.826332,-27.633968,-26.508934,-25.447416,-24.445791,-23.500647,-22.608845,-21.767342,-20.973358,-20.224241,-19.517511,-18.85085,-18.222061,-17.62913,-17.07009,-16.543184,-16.046726,-15.579118,-15.138881,-14.724668,-14.335145,-13.969127,-13.625496,-13.303171,-13.001186,-12.718631,-12.454653,-12.208462,-11.97933,-11.766583,-11.569599,-11.387786,-11.220648,-11.067675,-10.928446,-10.802573,-10.689676,-10.589456,-10.501638,-10.425972,-10.362259,-10.310335,-10.270048,-10.241318,-10.224062,-10.218255,-10.223902,-10.241022,-10.269701,-10.31004,-10.362163,-10.42625,-10.50252,-10.591206,-10.692608,-10.807037,-10.934868,-11.076512,-11.232411,-11.403079,-11.589066,-11.79097,-12.009442,-12.245192,-12.499008,-12.77172,-13.064232,-13.3775015,-13.712608,-14.070662,-14.452883,-14.860601,-15.2952,-15.75819,-16.251196,-16.775938,-17.334314,-17.928274,-18.559967,-19.231709,-19.94591,-20.705217,-21.51243,-22.370562,-23.282816,-24.252644,-25.283733,-26.380032,-27.545708
