iteration,loss_total,loss_ic,loss_top,loss_bottom,loss_res
0,341.145263671875,0.9752930402755737,16.73979377746582,5.241164762992412e-05,1.472652792930603
100,25.264925003051758,0.8449739217758179,1.018536925315857,3.8241323636611924e-05,0.669127345085144
200,25.132678985595703,0.8463824987411499,1.0193982124328613,1.5373276255559176e-05,0.5127254128456116
300,24.18619728088379,0.6881164908409119,1.0166919231414795,4.596842700266279e-05,0.41154488921165466
400,22.3626651763916,0.4930551052093506,0.9869610071182251,0.00026134258951060474,0.1568647176027298
500,0.22636336088180542,0.012105107307434082,0.0005109962658025324,0.0021748465951532125,0.1447436660528183
600,0.17356625199317932,0.012233228422701359,0.00014452698815148324,0.0021590827964246273,0.09871416538953781
700,0.15613619983196259,0.014841442927718163,0.00019796768901869655,0.002026617992669344,0.06783653795719147
800,0.12929536402225494,0.014487642794847488,0.00010576042404863983,0.0029664025641977787,0.03990993648767471
900,0.12332109361886978,0.01414953637868166,0.0002147930208593607,0.0029345289804041386,0.033604905009269714
1000,0.17779329419136047,0.01541457325220108,0.0031339405104517937,0.0023724676575511694,0.02617928758263588
1100,0.077607661485672,0.008995969779789448,0.0003343691350892186,0.0011104479199275374,0.02038818597793579
1200,0.08480529487133026,0.010475367307662964,0.001033402280882001,0.0001161707186838612,0.011179562658071518
1300,0.11223024874925613,0.011996583081781864,0.002204891759902239,7.793122495058924e-05,0.007759838830679655
1400,0.43846726417541504,0.010850665159523487,0.01890847459435463,0.00010933504381682724,0.00549777876585722
1499,0.06822716444730759,0.011831408366560936,0.0002557621046435088,8.17808395368047e-05,0.0035459804348647594
